,population,median_age,median_home_age,median_home_value,median_income,owner_occ,zip
1,4257.0,48.7,1995.0,276800.0,68272.0,2864.0,80446
2,2328.0,48.3,1983.0,381300.0,74809.0,1431.0,80447
3,15858.0,34.5,1970.0,203500.0,57234.0,9818.0,80701
4,7180.0,37.0,1972.0,171800.0,46897.0,4784.0,80723
5,261.0,40.6,1971.0,152800.0,53250.0,149.0,80750
6,18318.0,37.2,1963.0,157700.0,53077.0,11360.0,80751
8,1489.0,44.5,1996.0,228900.0,52153.0,1116.0,80864
9,20168.0,47.9,1972.0,275800.0,53423.0,12156.0,80904
10,18505.0,41.1,2003.0,480000.0,110768.0,17118.0,80908
11,38382.0,35.1,1965.0,219400.0,45471.0,18793.0,80909
13,25367.0,37.3,1963.0,664300.0,91884.0,13784.0,80209
14,19552.0,37.6,1952.0,482300.0,81093.0,12260.0,80212
15,26711.0,36.0,1965.0,355300.0,50518.0,9265.0,80214
16,34878.0,39.1,1978.0,348300.0,70977.0,21367.0,80227
17,2537.0,40.6,1993.0,315100.0,69276.0,1892.0,80440
19,3158.0,46.8,1972.0,282400.0,58339.0,2207.0,80452
20,158.0,60.4,1958.0,350000.0,84625.0,134.0,80463
21,16192.0,45.4,1978.0,396900.0,107852.0,14848.0,80465
22,1213.0,51.0,1979.0,197300.0,54250.0,917.0,80480
23,12924.0,42.1,1992.0,413600.0,93294.0,11146.0,80513
24,17118.0,35.4,2004.0,348800.0,101863.0,15113.0,80534
25,1894.0,53.2,1992.0,361400.0,76328.0,1769.0,80536
26,30519.0,38.3,2002.0,393900.0,96907.0,25596.0,80550
28,1132.0,34.9,1982.0,390000.0,72353.0,708.0,80624
29,4284.0,40.0,1991.0,295300.0,65739.0,3613.0,80651
30,243.0,49.9,1950.0,194400.0,39375.0,184.0,80745
31,421.0,31.5,1972.0,217200.0,67981.0,227.0,80735
32,25525.0,38.3,2002.0,328200.0,97925.0,22572.0,80831
33,40016.0,35.6,1992.0,332000.0,96284.0,28689.0,80920
34,26706.0,36.5,1954.0,427100.0,83209.0,17776.0,80207
35,55532.0,31.6,1983.0,240700.0,60350.0,33831.0,80229
36,49875.0,32.5,1979.0,299200.0,75772.0,29794.0,80233
37,25581.0,37.5,1985.0,532500.0,81527.0,15547.0,80301
38,29154.0,25.0,1973.0,816600.0,52719.0,10498.0,80302
39,4744.0,49.3,1985.0,350700.0,77734.0,4123.0,80422
40,10169.0,35.3,1988.0,604100.0,94440.0,5282.0,80424
41,437.0,46.8,1966.0,122000.0,45536.0,378.0,80805
42,1241.0,40.2,1973.0,137900.0,50547.0,856.0,80810
43,882.0,62.6,1994.0,279700.0,90313.0,882.0,80820
44,3605.0,37.7,1977.0,176100.0,48219.0,1097.0,80828
45,284.0,51.8,1957.0,99000.0,34500.0,230.0,80834
47,29417.0,32.1,2001.0,258700.0,87375.0,21581.0,80922
48,12342.0,28.3,2007.0,283600.0,85790.0,10355.0,80925
49,33117.0,42.7,1978.0,426600.0,103078.0,28191.0,80122
50,426.0,44.5,1975.0,391700.0,71250.0,312.0,80481
51,1495.0,39.0,1996.0,314100.0,83458.0,1352.0,80648
52,20499.0,41.7,1990.0,534800.0,114033.0,17642.0,80403
53,802.0,40.3,1987.0,362700.0,44833.0,452.0,80420
55,8706.0,46.8,1982.0,466000.0,109866.0,7565.0,80433
56,1031.0,35.2,1977.0,246500.0,58750.0,721.0,80451
57,7578.0,36.4,1969.0,226700.0,50305.0,5358.0,80461
58,55479.0,37.2,2001.0,379400.0,95448.0,43772.0,80504
59,10452.0,58.1,1984.0,435100.0,65364.0,7123.0,80517
60,1636.0,40.2,1982.0,266700.0,70726.0,1389.0,80520
61,22641.0,35.1,2003.0,443500.0,103938.0,17827.0,80528
62,605.0,49.5,1969.0,296000.0,45962.0,581.0,80436
63,24959.0,47.9,1979.0,550100.0,113975.0,21304.0,80439
64,3531.0,47.3,1976.0,404700.0,96547.0,3148.0,80470
66,1329.0,45.0,1990.0,492000.0,82375.0,950.0,80478
67,35453.0,42.1,1992.0,485400.0,97356.0,25305.0,80503
68,4410.0,46.4,1988.0,288200.0,50208.0,3298.0,81328
69,1237.0,54.9,1992.0,348300.0,67813.0,1094.0,81415
70,1793.0,48.7,1980.0,220100.0,52143.0,1312.0,81418
71,5660.0,38.5,1984.0,206000.0,49722.0,4121.0,81425
72,362.0,51.1,1981.0,200000.0,62250.0,327.0,81431
73,29358.0,38.3,1988.0,182400.0,54571.0,21425.0,81504
74,16299.0,40.9,1997.0,237400.0,60863.0,12234.0,81521
76,769.0,57.6,1985.0,302600.0,62969.0,602.0,81130
78,36729.0,23.5,1975.0,369000.0,48446.0,11581.0,80521
79,938.0,62.9,1981.0,267200.0,63009.0,807.0,80545
80,3410.0,35.1,1974.0,274800.0,60938.0,2333.0,80610
82,4996.0,35.9,1972.0,266700.0,57198.0,3420.0,80645
83,2668.0,43.4,1984.0,272100.0,58207.0,1976.0,80654
84,2725.0,37.4,1960.0,138300.0,49311.0,1569.0,80720
85,264.0,43.3,1953.0,154700.0,54875.0,236.0,80721
87,1233.0,45.4,1951.0,151800.0,45865.0,1029.0,80731
88,496.0,50.5,1974.0,139500.0,68618.0,327.0,80733
89,28039.0,43.6,1988.0,373500.0,95320.0,21143.0,80919
90,2949.0,42.4,1984.0,305900.0,76536.0,2602.0,80103
91,816.0,58.3,2001.0,267500.0,73359.0,795.0,80449
92,358.0,50.7,1991.0,281900.0,67813.0,219.0,80649
93,696.0,56.5,1989.0,286300.0,68375.0,696.0,80827
94,48965.0,34.2,1982.0,265300.0,67996.0,28676.0,80918
95,22659.0,41.5,2006.0,585500.0,130454.0,19322.0,80023
97,27719.0,41.2,2002.0,627400.0,142096.0,23907.0,80108
98,23665.0,36.2,2005.0,449500.0,125417.0,19678.0,80109
99,23336.0,39.0,1966.0,456200.0,68091.0,13571.0,80113
100,31302.0,40.2,1998.0,459900.0,118318.0,25088.0,80129
101,28992.0,37.5,1996.0,455200.0,125959.0,22473.0,80130
103,21632.0,35.3,2009.0,593300.0,141786.0,17410.0,80238
104,29264.0,36.4,1982.0,210300.0,48688.0,9236.0,80247
105,17126.0,36.4,1970.0,704900.0,92035.0,9850.0,80305
113,333.0,22.3,1977.0,379500.0,76492.0,200.0,80497
116,488.0,55.0,1967.0,137500.0,35987.0,382.0,80438
117,397.0,63.2,1959.0,255600.0,58438.0,308.0,80468
118,12135.0,35.5,2000.0,339700.0,90456.0,10549.0,80549
119,5873.0,44.8,1986.0,244400.0,67813.0,4336.0,80808
120,232.0,38.6,1990.0,220200.0,77443.0,232.0,80546
121,36262.0,37.6,2005.0,440100.0,116500.0,33281.0,80602
122,13935.0,35.1,2002.0,330600.0,87490.0,11366.0,80603
127,30283.0,33.0,2004.0,287000.0,89592.0,22162.0,80923
128,10138.0,34.3,2011.0,451900.0,128969.0,7639.0,80924
129,4905.0,33.5,2013.0,384600.0,108136.0,4164.0,80927
133,230.0,62.3,1991.0,367900.0,60156.0,196.0,81155
134,387.0,37.0,1985.0,167200.0,76094.0,262.0,81222
135,1005.0,46.3,1976.0,280000.0,57361.0,867.0,81233
136,388.0,53.5,1988.0,131800.0,52000.0,333.0,81244
138,4456.0,28.4,2005.0,260100.0,82358.0,3012.0,80951
139,4483.0,47.8,1986.0,537300.0,70857.0,2821.0,80443
140,957.0,54.6,1992.0,278100.0,76012.0,783.0,80515
142,670.0,56.5,1996.0,516400.0,74531.0,628.0,80428
143,1295.0,54.4,1968.0,104000.0,48750.0,1059.0,81324
144,145.0,62.2,1989.0,183000.0,63889.0,136.0,81325
145,1525.0,29.6,1991.0,152300.0,25764.0,832.0,81334
146,22534.0,44.3,1991.0,206200.0,44436.0,15058.0,81401
147,1785.0,51.6,1997.0,322000.0,71837.0,1477.0,81527
148,9299.0,37.5,1995.0,668000.0,77480.0,6689.0,81632
151,30169.0,35.7,1969.0,128600.0,38750.0,14883.0,81001
152,9310.0,40.1,1959.0,98800.0,40307.0,5581.0,81050
153,1618.0,39.6,1954.0,90400.0,42650.0,763.0,81062
154,3151.0,35.5,1961.0,77600.0,37986.0,2241.0,81063
156,14797.0,39.8,1955.0,109700.0,32430.0,5927.0,81003
158,2139.0,56.0,1990.0,244800.0,67875.0,1967.0,81069
159,77.0,47.4,1956.0,327500.0,61339.0,67.0,81081
161,5439.0,45.3,1980.0,323700.0,55938.0,3814.0,81526
162,11113.0,32.5,1990.0,546200.0,79688.0,5228.0,81620
163,1361.0,37.9,1978.0,263900.0,56563.0,841.0,81624
164,6735.0,36.9,1992.0,195700.0,64748.0,4409.0,81635
166,7304.0,36.2,1998.0,344400.0,90609.0,5227.0,81647
167,13843.0,33.8,1989.0,257500.0,66645.0,9563.0,81650
168,4958.0,36.1,1996.0,330100.0,61154.0,3671.0,81652
169,5847.0,43.0,1979.0,768300.0,83571.0,3722.0,81657
170,262.0,41.5,1989.0,151600.0,40060.0,262.0,81320
171,1244.0,65.0,1992.0,142700.0,33462.0,1138.0,81223
172,3207.0,39.1,1991.0,584700.0,84688.0,2142.0,81224
174,322.0,54.3,1963.0,259800.0,48854.0,300.0,81331
175,207.0,48.5,1980.0,319000.0,51458.0,117.0,81332
177,14218.0,42.7,1987.0,227600.0,43774.0,9327.0,81416
178,3666.0,47.5,1978.0,254300.0,40417.0,2386.0,81419
179,1764.0,45.4,1989.0,294900.0,59485.0,1166.0,81423
180,15325.0,37.8,1983.0,453300.0,78816.0,9098.0,81601
181,268.0,38.2,1973.0,134400.0,35682.0,202.0,81610
182,8500.0,42.2,1994.0,362700.0,79959.0,6183.0,81637
184,3668.0,40.2,1977.0,220400.0,50357.0,2499.0,81641
185,234.0,40.4,1965.0,364300.0,73854.0,200.0,81646
186,345.0,40.1,1970.0,345300.0,59750.0,215.0,81649
187,12081.0,43.2,1971.0,193200.0,53165.0,9740.0,81006
188,1081.0,45.6,1960.0,84500.0,39583.0,801.0,81036
189,999.0,47.8,1952.0,87100.0,41250.0,740.0,81058
190,1818.0,41.9,1964.0,90900.0,34083.0,1242.0,81073
192,928.0,51.5,1970.0,76300.0,37500.0,744.0,81090
193,1026.0,43.4,1989.0,84000.0,44375.0,749.0,81123
195,3253.0,43.9,1976.0,139200.0,36250.0,2536.0,81132
196,203.0,51.5,1958.0,165400.0,58333.0,170.0,80824
197,6476.0,52.4,1994.0,594100.0,134952.0,5874.0,80118
198,13783.0,38.4,2007.0,609200.0,147421.0,12976.0,80007
199,74105.0,35.1,1986.0,303700.0,80055.0,55264.0,80013
200,5692.0,42.5,1990.0,371700.0,78774.0,4826.0,80102
201,3121.0,36.7,1981.0,276400.0,76103.0,1823.0,80644
202,541.0,39.1,1956.0,201700.0,60250.0,357.0,80726
203,9740.0,47.9,1985.0,333500.0,78068.0,8439.0,80421
205,52172.0,32.0,1978.0,220800.0,51461.0,27782.0,80011
206,34030.0,39.4,1992.0,584000.0,109895.0,23390.0,80027
207,37668.0,32.0,1985.0,254400.0,64248.0,20933.0,80017
208,19217.0,45.1,1971.0,455200.0,101500.0,15301.0,80121
209,1914.0,22.8,1987.0,469300.0,96397.0,952.0,80137
210,25066.0,37.3,1961.0,666300.0,77165.0,12362.0,80206
211,782.0,50.1,1983.0,112500.0,46875.0,650.0,81143
212,12587.0,50.8,1994.0,316300.0,52111.0,8864.0,81147
213,8281.0,46.2,1991.0,343600.0,52813.0,5634.0,81211
214,11632.0,38.6,1993.0,181100.0,54806.0,7962.0,81008
215,231.0,56.3,1993.0,179500.0,16007.0,216.0,81024
216,741.0,48.2,1960.0,107800.0,47500.0,530.0,81025
217,693.0,54.9,1990.0,210100.0,51058.0,456.0,81091
218,1902.0,37.1,1980.0,134900.0,44208.0,1590.0,81151
219,2271.0,45.1,1972.0,96500.0,30556.0,1732.0,81120
220,323.0,49.9,1987.0,193300.0,45250.0,282.0,81121
221,8798.0,40.2,1992.0,339600.0,73258.0,7348.0,81122
222,9543.0,49.1,1976.0,365200.0,57882.0,7412.0,81201
223,169.0,36.3,1949.0,51300.0,46250.0,111.0,81027
224,195.0,29.3,1952.0,42500.0,40625.0,184.0,81033
225,311.0,43.3,1983.0,81500.0,26406.0,234.0,81044
226,240.0,49.0,1956.0,131300.0,50729.0,122.0,81049
227,31963.0,40.8,1974.0,166800.0,50779.0,22726.0,81005
228,1345.0,53.9,1969.0,191400.0,73333.0,1107.0,81023
229,1714.0,42.8,1997.0,327600.0,91250.0,1479.0,81524
231,412.0,64.3,1994.0,334700.0,69405.0,334.0,81643
232,11369.0,44.7,1966.0,149500.0,41743.0,7254.0,81082
233,9295.0,41.9,1976.0,141400.0,48125.0,3823.0,81226
234,416.0,58.3,1988.0,256400.0,50139.0,367.0,81327
235,2977.0,54.7,1996.0,491900.0,64076.0,2045.0,81432
236,781.0,34.7,1967.0,126500.0,53375.0,506.0,81077
238,49.0,39.5,1969.0,61300.0,21250.0,40.0,81043
239,279.0,51.1,1953.0,56800.0,43438.0,195.0,81064
240,1035.0,56.3,1990.0,165400.0,39076.0,773.0,81133
241,2223.0,35.8,1975.0,147800.0,43098.0,1751.0,81140
242,7047.0,38.9,1970.0,157500.0,39322.0,4398.0,81144
243,306.0,41.1,1978.0,93900.0,41250.0,273.0,81221
244,2306.0,43.4,1992.0,305800.0,52109.0,1976.0,81326
245,1506.0,60.3,1983.0,258800.0,55125.0,1058.0,81410
246,5426.0,53.1,1990.0,258500.0,48057.0,4144.0,81413
247,1117.0,50.6,1987.0,380000.0,68090.0,832.0,81427
248,912.0,57.4,1994.0,437500.0,92958.0,869.0,81523
249,1301.0,44.0,1999.0,193200.0,48778.0,1060.0,81525
250,26581.0,36.8,1947.0,108000.0,35813.0,12928.0,81004
251,811.0,39.6,1966.0,82100.0,37500.0,555.0,81041
252,136.0,39.4,1965.0,75000.0,48750.0,85.0,81087
253,3469.0,38.7,1975.0,93300.0,42176.0,1885.0,81125
254,1280.0,40.1,1974.0,118600.0,37670.0,1076.0,81141
255,30986.0,44.3,1979.0,178300.0,49200.0,17656.0,81212
256,10041.0,32.6,1980.0,314800.0,51646.0,5645.0,81230
257,795.0,55.0,1986.0,365100.0,56518.0,554.0,81235
258,1271.0,61.5,1992.0,416200.0,61288.0,1043.0,81236
259,3547.0,48.8,1983.0,204400.0,67599.0,2879.0,81240
261,30887.0,39.4,1985.0,454600.0,72041.0,19841.0,81301
262,14863.0,44.5,1978.0,193400.0,50658.0,10188.0,81321
263,5252.0,37.5,1994.0,496900.0,66981.0,2624.0,81435
264,24002.0,30.5,1970.0,181900.0,38013.0,9135.0,81501
265,12298.0,52.0,1984.0,295300.0,54155.0,8058.0,81506
266,1487.0,40.3,1979.0,297000.0,54535.0,1331.0,81654
267,1674.0,34.1,1990.0,196500.0,42670.0,1004.0,81019
