,population,median_age,median_home_age,median_home_value,median_income,owner_occ,zip
269,1452.0,35.1,1983.0,462100.0,91136.0,904.0,81225
270,173.0,56.0,1985.0,450000.0,60208.0,157.0,81251
272,1344.0,59.3,1998.0,198000.0,24495.0,914.0,81131
273,791.0,37.4,1981.0,118200.0,60667.0,484.0,81146
274,664.0,45.6,1974.0,148200.0,37083.0,446.0,81422
275,1034.0,45.8,1971.0,153800.0,41827.0,876.0,81424
276,163.0,45.5,1996.0,620500.0,97500.0,149.0,81426
277,10454.0,37.8,1995.0,289700.0,65181.0,7065.0,81505
280,825.0,55.9,1993.0,602300.0,85938.0,707.0,81430
282,2783.0,49.3,1985.0,884400.0,70634.0,1795.0,81615
283,17173.0,38.7,1992.0,621200.0,86565.0,10332.0,81623
284,12601.0,36.2,1976.0,184000.0,57827.0,8399.0,81625
285,1054.0,39.4,1988.0,216100.0,64698.0,807.0,81630
286,8903.0,35.7,1998.0,572200.0,101620.0,6131.0,81631
287,1101.0,35.7,1971.0,646300.0,90521.0,484.0,81645
288,2688.0,33.2,1981.0,164700.0,62667.0,1892.0,81648
290,1268.0,40.8,1997.0,166800.0,54891.0,1080.0,80928
291,233.0,52.5,1941.0,107500.0,40938.0,188.0,80749
293,194.0,42.0,1955.0,165600.0,41250.0,114.0,80757
294,3657.0,41.7,1964.0,169500.0,53858.0,2153.0,80758
295,287.0,51.4,1945.0,91700.0,31563.0,214.0,80804
296,784.0,50.0,1967.0,147500.0,55000.0,541.0,80815
297,6371.0,53.8,1993.0,252700.0,63911.0,5607.0,80816
298,30635.0,30.7,1997.0,227100.0,64020.0,19819.0,80817
299,971.0,40.0,1973.0,178100.0,52222.0,580.0,80835
300,48.0,63.8,1981.0,68300.0,70625.0,48.0,80862
301,13034.0,46.0,1986.0,326100.0,77420.0,10372.0,80863
302,2574.0,35.8,2011.0,492900.0,145264.0,2406.0,80547
303,157.0,57.7,1979.0,465600.0,137260.0,148.0,80425
304,3557.0,43.4,1977.0,483700.0,76645.0,2300.0,80466
305,36497.0,35.8,1984.0,354900.0,63273.0,24982.0,80524
306,8291.0,39.6,1993.0,307200.0,81320.0,6602.0,80615
307,12762.0,35.0,1978.0,273800.0,67813.0,9952.0,80621
308,938.0,32.7,1977.0,189300.0,62917.0,763.0,80623
309,682.0,43.1,1941.0,169100.0,54792.0,357.0,80729
310,103.0,55.8,1953.0,266700.0,75469.0,59.0,80740
311,37608.0,39.1,1984.0,357800.0,68701.0,23312.0,80906
312,24087.0,41.5,2004.0,444900.0,124085.0,19779.0,80921
313,1928.0,30.3,2003.0,239100.0,63145.0,683.0,80930
314,34097.0,35.5,1991.0,353100.0,75879.0,20071.0,80021
315,35741.0,38.1,1985.0,348900.0,82271.0,26776.0,80031
316,495.0,42.3,1997.0,365200.0,72743.0,362.0,80101
317,22756.0,36.3,1965.0,298000.0,59468.0,12727.0,80110
318,2794.0,48.3,1992.0,360600.0,88214.0,2417.0,80117
319,36435.0,41.0,1982.0,378300.0,95050.0,29665.0,80128
320,34030.0,32.4,1964.0,337000.0,50429.0,12864.0,80204
321,42665.0,38.8,1978.0,505900.0,89904.0,27577.0,80401
322,2801.0,39.0,1978.0,210300.0,54194.0,1912.0,80459
323,42077.0,37.5,1975.0,307100.0,60751.0,21925.0,80501
324,5488.0,32.0,1993.0,268300.0,67292.0,3604.0,80514
325,4718.0,37.7,2001.0,307400.0,79919.0,3996.0,80530
326,59702.0,37.9,1991.0,276300.0,73400.0,42175.0,80634
327,774.0,44.2,1979.0,225900.0,55313.0,583.0,80653
328,3044.0,33.7,1962.0,165600.0,51806.0,1986.0,80734
330,461.0,36.8,1958.0,60000.0,63125.0,306.0,80825
331,410.0,51.3,1945.0,76600.0,30536.0,344.0,80744
333,1101.0,38.0,1960.0,142900.0,53807.0,705.0,80821
334,288.0,38.6,1969.0,171700.0,54500.0,273.0,80861
335,16237.0,35.6,1961.0,233300.0,49347.0,8065.0,80905
336,41018.0,28.7,1987.0,171500.0,50866.0,20720.0,80916
337,524.0,41.5,1977.0,131300.0,55750.0,431.0,80736
338,4576.0,37.4,1973.0,115500.0,49675.0,2533.0,80807
340,732.0,45.3,1981.0,238200.0,49453.0,538.0,80832
341,29247.0,38.3,1968.0,222100.0,50966.0,15482.0,80907
342,36255.0,32.7,1980.0,204800.0,66559.0,27789.0,80911
343,1628.0,37.3,1991.0,226300.0,61161.0,1339.0,80926
344,25081.0,30.0,1976.0,693200.0,62422.0,12269.0,80303
345,720.0,49.8,1974.0,285800.0,52188.0,213.0,80427
346,187.0,45.5,1996.0,233300.0,63276.0,173.0,80432
347,2229.0,30.7,1991.0,351900.0,54095.0,627.0,80442
348,1151.0,47.6,1970.0,294900.0,56406.0,664.0,80444
349,1361.0,37.4,1957.0,436700.0,113788.0,1327.0,80454
350,391.0,54.0,1971.0,276600.0,44474.0,238.0,80455
351,640.0,61.2,1994.0,331100.0,62045.0,553.0,80456
352,192.0,49.8,1974.0,376200.0,98125.0,114.0,80457
355,831.0,45.7,1991.0,588000.0,87794.0,510.0,80482
356,719.0,37.9,1972.0,263500.0,70625.0,533.0,80483
357,17971.0,40.0,1992.0,638400.0,83731.0,12188.0,80487
358,7999.0,44.5,1988.0,577200.0,77960.0,4730.0,80498
359,1583.0,58.8,1983.0,396300.0,61757.0,1536.0,80512
360,56425.0,34.8,1991.0,389000.0,73289.0,34891.0,80525
361,46271.0,31.8,1987.0,352500.0,67289.0,27492.0,80526
362,2596.0,49.8,1974.0,343900.0,62569.0,1819.0,80535
363,43583.0,41.2,1985.0,330900.0,72120.0,29468.0,80537
364,49258.0,41.7,1990.0,322900.0,69455.0,34678.0,80538
365,40766.0,33.4,1999.0,313700.0,75675.0,26614.0,80601
366,1181.0,33.5,1990.0,353000.0,81736.0,869.0,80611
367,5468.0,35.0,1991.0,348100.0,75864.0,4149.0,80642
370,1060.0,45.4,1950.0,137200.0,51042.0,860.0,80728
371,1137.0,42.5,1970.0,150000.0,59583.0,706.0,80743
374,1102.0,54.4,1956.0,323000.0,52083.0,949.0,80809
375,251.0,48.9,1954.0,81300.0,57917.0,189.0,80812
376,3570.0,54.6,1989.0,263600.0,61875.0,2928.0,80814
377,243.0,53.6,1958.0,172500.0,46607.0,205.0,80822
378,6138.0,43.2,1962.0,379300.0,70132.0,3982.0,80829
380,31445.0,30.0,1974.0,166000.0,39775.0,13644.0,80910
381,28737.0,43.8,1980.0,412700.0,107300.0,24917.0,80005
382,39333.0,41.0,1981.0,262100.0,58386.0,22011.0,80014
383,2771.0,32.0,2007.0,324100.0,87672.0,2071.0,80019
384,50491.0,38.1,1988.0,366700.0,94439.0,35996.0,80020
385,34092.0,36.7,1990.0,440500.0,94875.0,20031.0,80112
387,4904.0,39.9,1955.0,72800.0,29214.0,1620.0,81054
388,45304.0,43.8,1991.0,440300.0,113654.0,40012.0,80127
389,21286.0,43.9,1996.0,474200.0,129009.0,19009.0,80132
390,15287.0,33.7,2002.0,521300.0,90384.0,4173.0,80202
391,36480.0,37.0,1975.0,318800.0,66114.0,24952.0,80003
392,52588.0,33.4,1978.0,256800.0,56438.0,22657.0,80012
393,13662.0,30.4,1960.0,236300.0,60591.0,5251.0,80216
394,23287.0,37.8,1965.0,383000.0,64695.0,11322.0,80222
395,19972.0,34.5,1955.0,294300.0,54797.0,10521.0,80223
396,28133.0,34.9,1989.0,348200.0,74648.0,17407.0,80234
397,8804.0,35.2,1979.0,327000.0,66563.0,4400.0,80235
398,47829.0,30.4,1985.0,250100.0,60186.0,27712.0,80239
400,7665.0,35.4,1987.0,592000.0,85109.0,4392.0,80435
401,2186.0,39.6,1988.0,353400.0,64267.0,1625.0,80467
402,380.0,41.4,1953.0,176400.0,56618.0,194.0,80469
403,288.0,53.3,1958.0,364000.0,112083.0,182.0,80510
404,28254.0,37.5,2004.0,472900.0,118666.0,24524.0,80516
406,3947.0,38.6,1999.0,341600.0,86567.0,3451.0,80643
408,55872.0,27.3,1972.0,198200.0,44097.0,23957.0,80631
409,12991.0,32.4,2003.0,314600.0,86687.0,10750.0,80640
410,1508.0,43.4,1993.0,275300.0,64917.0,1334.0,80650
411,1276.0,35.6,1976.0,98600.0,45823.0,741.0,80705
412,1679.0,40.5,1949.0,102600.0,49375.0,1133.0,80737
413,897.0,36.9,1954.0,211000.0,53333.0,649.0,80741
414,4638.0,35.4,1962.0,214000.0,52188.0,3437.0,80759
415,1411.0,56.5,1987.0,190300.0,41679.0,731.0,80813
416,198.0,38.3,1949.0,121900.0,48250.0,169.0,80823
417,686.0,52.6,1980.0,205200.0,42734.0,615.0,80833
418,1157.0,32.9,1970.0,156000.0,48558.0,692.0,80836
420,69487.0,37.0,1991.0,365200.0,102611.0,56890.0,80015
421,56841.0,37.8,2005.0,510000.0,123820.0,46533.0,80016
424,15861.0,35.7,1964.0,269200.0,52949.0,8684.0,80030
425,31522.0,37.1,2000.0,391100.0,102500.0,24762.0,80104
426,5469.0,40.5,2001.0,331200.0,85504.0,4852.0,80136
427,1198.0,45.0,1978.0,264600.0,63810.0,986.0,80105
428,33256.0,39.4,1987.0,657000.0,110499.0,22358.0,80111
429,47821.0,42.1,1986.0,390100.0,83074.0,34403.0,80123
430,43356.0,40.3,1995.0,483700.0,128994.0,36789.0,80126
431,2539.0,39.6,1981.0,286100.0,69500.0,2109.0,80133
432,19487.0,40.8,1967.0,447800.0,74417.0,11601.0,80215
433,4370.0,50.2,1987.0,642500.0,113026.0,4005.0,80116
434,31891.0,41.4,1975.0,403700.0,71272.0,19655.0,80120
435,35054.0,32.5,1954.0,434600.0,72338.0,15201.0,80205
436,70638.0,32.5,1956.0,257200.0,51082.0,34680.0,80219
437,36483.0,36.9,1953.0,498100.0,82642.0,21310.0,80220
438,34111.0,39.6,1978.0,403100.0,83087.0,24352.0,80228
439,9545.0,39.2,2002.0,609200.0,91071.0,5647.0,80230
440,19230.0,33.8,1968.0,322400.0,67198.0,10592.0,80236
441,21890.0,36.8,1980.0,429700.0,75946.0,11535.0,80237
442,33638.0,36.7,1994.0,339300.0,90558.0,25835.0,80241
443,32537.0,32.6,2004.0,297300.0,76765.0,25324.0,80249
444,34837.0,31.1,1984.0,142700.0,50832.0,21313.0,80260
447,26360.0,40.9,1978.0,832200.0,99132.0,17868.0,80304
448,18877.0,35.3,1976.0,347800.0,63745.0,10732.0,80002
449,36595.0,41.9,1973.0,383400.0,78586.0,25566.0,80004
450,51863.0,31.6,1989.0,305900.0,70557.0,36337.0,80022
451,30714.0,39.6,1989.0,437300.0,85130.0,22296.0,80026
452,25755.0,41.7,1965.0,374400.0,55526.0,12905.0,80033
454,21548.0,34.5,1979.0,202400.0,60674.0,14518.0,80915
455,31056.0,35.5,1979.0,231200.0,57129.0,18597.0,80917
456,1310.0,53.5,1969.0,108700.0,25638.0,747.0,81152
457,3962.0,58.5,1991.0,246900.0,48631.0,3426.0,81252
458,4542.0,48.4,1986.0,248700.0,56250.0,3642.0,81323
459,1642.0,43.9,1956.0,103300.0,42198.0,987.0,81039
460,1602.0,53.7,1982.0,211800.0,47279.0,1203.0,81055
461,5566.0,38.3,1962.0,82000.0,34015.0,3493.0,81067
462,847.0,43.7,1973.0,133200.0,47396.0,615.0,81092
463,211.0,35.1,1975.0,153400.0,24427.0,121.0,81136
464,5891.0,39.9,1986.0,249100.0,51484.0,4003.0,81137
465,305.0,33.4,1971.0,72900.0,29063.0,271.0,81148
466,815.0,54.1,1971.0,141300.0,32105.0,593.0,81149
467,1022.0,60.0,1991.0,268100.0,54922.0,883.0,81154
468,155.0,62.7,1990.0,340000.0,65313.0,155.0,81220
470,3214.0,54.2,1974.0,237700.0,50298.0,2744.0,81428
471,558.0,50.3,1949.0,320800.0,52857.0,349.0,81433
472,15518.0,40.1,1984.0,202300.0,58216.0,11171.0,81503
473,14080.0,33.1,1983.0,142200.0,41250.0,9001.0,81520
474,11154.0,41.1,1982.0,649300.0,85588.0,6872.0,81611
475,5652.0,45.2,1994.0,627000.0,82311.0,3697.0,81621
476,2695.0,42.1,1979.0,231100.0,63800.0,1909.0,81639
477,313.0,28.1,1974.0,123200.0,44688.0,160.0,81071
478,721.0,32.2,1949.0,93100.0,53750.0,470.0,81076
479,15153.0,31.2,1978.0,158800.0,37130.0,8878.0,81101
480,31849.0,40.4,1999.0,221700.0,71553.0,26085.0,81007
481,902.0,51.4,1977.0,96800.0,37031.0,655.0,81020
482,1624.0,40.2,1978.0,164700.0,46250.0,1317.0,81022
483,314.0,49.4,1952.0,74500.0,40469.0,208.0,81029
484,51.0,57.4,1963.0,78800.0,45000.0,46.0,81045
485,1473.0,40.0,1955.0,87100.0,41504.0,1023.0,81047
486,9028.0,37.4,1968.0,108500.0,42533.0,5676.0,81052
487,391.0,47.1,1971.0,153800.0,53750.0,294.0,81057
488,4467.0,54.7,1960.0,116900.0,33167.0,3008.0,81089
489,21273.0,38.1,1998.0,517200.0,110754.0,13749.0,80124
490,10548.0,41.7,1997.0,457700.0,132905.0,9931.0,80125
491,21392.0,32.7,1963.0,360900.0,55798.0,4789.0,80203
492,37087.0,34.1,1954.0,610600.0,95225.0,22099.0,80210
493,35627.0,34.9,1948.0,515700.0,84773.0,20175.0,80211
494,19385.0,33.7,1956.0,418000.0,67639.0,7250.0,80218
495,42103.0,34.4,1961.0,286700.0,63318.0,24878.0,80221
496,18941.0,38.3,1971.0,398200.0,65276.0,10501.0,80224
497,22705.0,39.7,1971.0,329000.0,69949.0,16035.0,80232
498,13433.0,31.8,1977.0,435900.0,56954.0,3163.0,80246
499,4576.0,47.0,1979.0,549900.0,101569.0,3975.0,80540
500,4918.0,35.2,2001.0,370000.0,98064.0,4728.0,80542
501,7344.0,36.9,2000.0,278500.0,80083.0,6123.0,80543
502,42807.0,31.4,1965.0,243300.0,42837.0,15311.0,80010
503,13397.0,34.6,2005.0,370300.0,105543.0,11078.0,80018
504,5847.0,46.9,1998.0,402200.0,111594.0,5610.0,80106
505,13474.0,43.1,1994.0,474600.0,106506.0,12195.0,80107
506,69163.0,36.5,2001.0,448300.0,115031.0,57925.0,80134
507,4038.0,50.4,1985.0,638000.0,111176.0,3576.0,80135
508,33571.0,40.1,1996.0,467800.0,121716.0,28672.0,80138
509,33597.0,34.7,1972.0,346300.0,63772.0,18355.0,80226
510,36861.0,34.4,1980.0,340700.0,58982.0,12523.0,80231
511,19622.0,29.4,1999.0,216700.0,55254.0,12156.0,80620
519,465.0,53.3,1997.0,280200.0,48750.0,324.0,81242
520,8157.0,44.3,1991.0,395700.0,70275.0,5767.0,81303
521,11412.0,47.5,1991.0,308600.0,62633.0,9309.0,81403
523,14953.0,50.8,1985.0,336400.0,85007.0,12900.0,81507
